"我","ich","/ɪç/"
"你","du","/duː/"
"他","er","/eːɐ̯/"
"她","sie","/ziː/"
"它","es","/ɛs/"
"我们","wir","/viːɐ̯/"
"我们是朋友","wir sind freunde","/viːɐ̯ zɪnt ˈfʁɔɪ̯ndə/"
"你们","ihr","/iːɐ̯/"
"他们","sie","/ziː/"
"这个","das","/das/"
"那个","das da","/das daː/"
"这是什么？","was ist das?","/vas ɪst das/"
"是","ist","/ɪst/"
"不是","ist nicht","/ɪst nɪçt/"
"有","haben","/ˈhaːbm̩/"
"没有","haben nicht","/ˈhaːbm̩ nɪçt/"
"我有一本书","ich habe ein buch","/ɪç ˈhaːbə aɪ̯n buːx/"
"喜欢","mögen","/ˈmøːɡn̩/"
"不喜欢","mögen nicht","/ˈmøːɡn̩ nɪçt/"
"我喜欢音乐","ich mag musik","/ɪç maːk muˈziːk/"
"想要","wollen","/ˈvɔlən/"
"不想要","wollen nicht","/ˈvɔlən nɪçt/"
"能够","können","/ˈkœnən/"
"不能够","können nicht","/ˈkœnən nɪçt/"
"你能帮我吗？","kannst du mir helfen?","/kanst duː miːɐ̯ ˈhɛlfn̩/"
"做","machen","/ˈmaxn̩/"
"去","gehen","/ˈɡeːən/"
"来","kommen","/ˈkɔmən/"
"快来这里","komm schnell her","/kɔm ʃnɛl heːɐ̯/"
"看","sehen","/ˈzeːən/"
"听","hören","/ˈhøːʁən/"
"说","sprechen","/ˈʃpʁɛçn̩/"
"你说德语吗？","sprichst du deutsch?","/ʃpʁɪçst duː dɔɪ̯tʃ/"
"吃","essen","/ˈɛsn̩/"
"喝","trinken","/ˈtʁɪŋkn̩/"
"我想喝水","ich möchte wasser trinken","/ɪç ˈmøːçtə ˈvasɐ ˈtʁɪŋkn̩/"
"睡觉","schlafen","/ˈʃlaːfn̩/"
"工作","arbeiten","/ˈaʁbaɪ̯tn̩/"
"学习","lernen","/ˈlɛʁnən/"
"我在学德语","ich lerne deutsch","/ɪç ˈlɛʁnə dɔɪ̯tʃ/"
"读","lesen","/ˈleːzn̩/"
"写","schreiben","/ˈʃʁaɪ̯bn̩/"
"买","kaufen","/ˈkaʊ̯fn̩/"
"卖","verkaufen","/fɛɐ̯ˈkaʊ̯fn̩/"
"多少钱？","wie viel kostet das?","/viː fiːl ˈkɔstət das/"
"给","geben","/ˈɡeːbn̩/"
"拿","nehmen","/ˈneːmən/"
"找","suchen","/ˈzuːxn̩/"
"等","warten","/ˈvaʁtn̩/"
"请等一下","bitte warten sie einen moment","/ˈbɪtə ˈvaʁtn̩ ziː ˈaɪ̯nən moˈmɛnt/"
"帮助","helfen","/ˈhɛlfn̩/"
"谢谢","danke","/ˈdaŋkə/"
"非常感谢","vielen dank","/ˈfiːlən daŋk/"
"对不起","entschuldigung","/ɛntˈʃʊldɪɡʊŋ/"
"再见","auf wiedersehen","/aʊ̯f ˈviːdɐzeːən/"
"你好","hallo","/haˈloː/"
"很高兴见到你","freut mich, sie kennenzulernen","/fʁɔɪ̯t mɪç ziː ˈkɛnəntsulɛʁnən/"
"早上好","guten morgen","/ˈɡuːtn̩ ˈmɔʁɡn̩/"
"晚上好","guten abend","/ˈɡuːtn̩ ˈaːbn̩t/"
"晚安","gute nacht","/ˈɡuːtə naxt/"
"祝你好运","viel glück","/fiːl ɡlʏk/"
"是的","ja","/jaː/"
"不","nein","/naɪ̯n/"
"也许","vielleicht","/fiˈlaɪ̯çt/"
"当然","natürlich","/naˈtyːɐ̯lɪç/"
"没问题","kein problem","/kaɪ̯n pʁoˈbleːm/"
